Nível;Indicador;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Unidade
1;PIB a preços correntes;;;;;;;;;;;;;;;;;;;;;;;;
1.1;Série revisada;;;;;;;;;;;;208153595;229567799;253200785;284299248;300270151.61;320186614.79;328440481.38;337675255.22;363403233.29;354932610.767;331471515.366;359634752.587;R$
1.2;Série retropolada;;;;94302738;99307638;118557612;123338521;132586054;144631993;162937567;187409801;;;;;;;;;;;;;R$
1.3;Série encerrada;72106309;76730775;82601449;91063238;95751484;112674641;117771722;128026084;140094694;158757286;170517226;190017531;209376409;220924561;;;;;;;;;;R$
2;PIB per capita;;;;;;;;;;;;;;;;;;;;;;;;
2.1;Série revisada;;;;;;;;;;;;32919.88;36118.57;39622.74;44215.03;46526.95;49437.22;50538.35;51788.57;54329.08;52825.98;49122.79;53078.23;R$
2.2;Série encerrada;;;;;;;;;;;;;;34571.91;;;;;;;;;;R$
3;Valor adicionado bruto a preços correntes;;;;;;;;;;;;;;;;;;;;;;;;
3.1;Série revisada;;;;;;;;;;;;160679440;178237774;195903868;221600592;239767075.74;249300324.59;260578399.87;261154097.87;271076208.31;271748652.182;271491550.743;280310329.258;R$
3.1.1;Atividade econômica;;;;;;;;;;;;;;;;;;;;;;;;
3.1.1.1;Agropecuária;;;;;;;;;;;;30140;45670;55552;65295;72480.61;77795.26;81366.80;81672.69;86011.25;91352.476;102542.265;111266.985;R$
3.1.1.2;Indústria;;;;;;;;;;;;27644213;29829624;33695852;38201935;40511990.91;38292994.93;36341637.98;32439016.50;36120328.75;35566916.923;36658253.001;45685982.113;R$
3.1.1.3;Serviços - Exclusive Administração, defesa, educação e saúde públicas e seguridade social;;;;;;;;;;;;105928383;117479938;129286738;146068744;158781841.96;167282625.68;176605866.48;179872487.07;184683114.28;182378608.01;180313930.985;177541096.186;R$
3.1.1.4;Administração, defesa, educação e saúde públicas e seguridade social;;;;;;;;;;;;27076704;30882543;32865726;37264617;40400762.26;43646908.71;47549528.61;48760921.61;50186754.03;53711774.774;54416824.491;56971983.974;R$
3.2;Série retropolada;;;;76228294;81299283;89425074;92873920;99951521;109590920;123076222;147514689;;;;;;;;;;;;;R$
3.2.1;Atividade econômica;;;;;;;;;;;;;;;;;;;;;;;;
3.2.1.1;Agropecuária;;;;18887;17585;26084;26881;27239;25390;27245;30141;;;;;;;;;;;;;R$
3.2.1.2;Indústria;;;;14357625;14470025;16711243;15287030;16686729;16735198;20040326;27134920;;;;;;;;;;;;;R$
3.2.1.3;Serviços - Exclusive Administração, defesa, educação e saúde públicas e seguridade social;;;;48707447;52683642;57339760;60736645;65052042;72824256;80446158;95824739;;;;;;;;;;;;;R$
3.2.1.4;Administração, defesa, educação e saúde públicas e seguridade social;;;;13144335;14128031;15347987;16823364;18185511;20006077;22562493;24524889;;;;;;;;;;;;;R$
3.3;Série encerrada;;;;;;;;;;;;;;;;;;;;;;;;
3.3.1;Atividade econômica;;;;;;;;;;;;;;;;;;;;;;;;
3.3.1.1;Agropecuária;24073;27360;28841;28364;31402;40690;41024;50794;41879;49354;53001;59037;60598;62732;;;;;;;;;;R$
3.3.1.2;Indústria;9857426;10234829;10311625;11707449;12392683;14877909;12654761;14163088;13839703;16910133;22334169;22332352;23578494;23096457;;;;;;;;;;R$
3.3.1.3;Serviços;49327313;50449607;53637248;61976016;66548216;70829952;77818049;83890572;93787551;104828672;112643889;125151001;140139798;146771375;;;;;;;;;;R$
4;Impostos, líquidos de subsídios, sobre produtos, a preços correntes;;;;;;;;;;;;;;;;;;;;;;;;
4.1;Série revisada;;;;;;;;;;;;47474155;51330024;57296917;62698657;60503075.87;70886290.20;67862081.51;76521157.35;92327024.98;83183958.585;59979964.623;79324423.329;R$
4.2;Série retropolada;;;;18074445;18008355;29132538;30464601;32634533;35041073;39861345;39895111;;;;;;;;;;;;;R$
4.3;Série encerrada;12897497;16018979;18623734;17351410;16779184;26926089;27257889;29921629;32425561;36969127;35486167;42475141;45597518;50993997;;;;;;;;;;R$


Nota: Os dados da série encerrada têm como referência o ano de 2002

Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - 
SUFRAMA
